d
JMP
JSR
BRA
LDA
LDB
LDC
LDD
LDE
LDX
LDY
LDF
LDS
STA
STB
STC
STD
STE
STX
STY
STF
STS
STP
MVD
MVR
MVA
MVB
MVC
MVD
MVE
MVX
MVY
MVXI
MVYI
MVXD
MVYD
MVSI
MVSD
TRA
TRB
TRC
TRD
TRE
TRX
TRY
TRS
EXA
EXB
EXC
EXD
EXE
EXX
EXY
EXS
ADA
ACA
SUA
SBA
ANA
ORA
XOA
CMA
ADAA
ACAA
SUAA
SBAA
ANAA
ORAA
XOAA
CMAA
ADB
ACB
SUB
SBB
ANB
ORB
XOB
CMB
ADBA
ACBA
SUBA
SBBA
ANBA
ORBA
XOBA
CMBA
ADC
ACC
SUC
SBC
ANC
ORC
XOC
CMC
ADCA
ACCA
SUCA
SBCA
ANCA
ORCA
XOCA
CMCA
ADD
ACD
SUD
SBD
AND
ORD
XOD
CMD
ADDA
ACDA
SUDA
SBDA
ANDA
ORDA
XODA
CMDA
ADE
ACE
SUE
SBE
ANE
ORE
XOE
CME
ADEA
ACEA
SUEA
SBEA
ANEA
OREA
XOEA
CMEA
ADX
ACX
SUX
SBX
ANX
ORX
XOX
CMX
ADXA
ACXA
SUXA
SBXA
ANXA
ORXA
XOXA
CMXA
ADY
ACY
SUY
SBY
ANY
ORY
XOY
CMY
ADYA
ACYA
SUYA
SBYA
ANYA
ORYA
XOYA
CMYA
ADS
ACS
SUS
SBS
ANS
ORS
XOS
CMS
ADSA
ACSA
SUSA
SBSA
ANSA
ORSA
XOSA
CMSA
NOT
NEG
NEX
LSH
RSH
INC
DEC
SEX
NOTA
NEGA
NEXA
LSHA
RSHA
INCA
DECA
SEXA
